ASSAY_PLATE	SOURCE_PLATE	WELL	COMPOUND	FRACTION
Plate_1	Library_plate1	G04	Compound_6	1
Plate_1	Library_plate1	G05	Compound_7	0
Plate_1	Library_plate1	G06	Compound_7	1
Plate_1	Library_plate1	G07	Compound_8	0
Plate_1	Library_plate1	G08	Compound_8	1
Plate_1	Library_plate1	G09	Compound_9	0
Plate_1	Library_plate1	G10	Compound_9	1
Plate_1	Library_plate1	G11	Compound_10	0
Plate_1	Library_plate1	G12	Compound_10	1
Plate_1	Library_plate1	G13	Compound_11	0
Plate_1	Library_plate1	G14	Compound_11	1
Plate_1	Library_plate1	G15	Compound_12	0
Plate_1	Library_plate1	G16	Compound_12	1
Plate_1	Library_plate1	G17	Compound_2	0
Plate_1	Library_plate1	P12	Compound_1	2
Plate_1	Library_plate1	P13	Compound_50	3
Plate_1	Library_plate1	P14	Compound_50	2
Plate_1	Library_plate1	P15	Compound_51	3
Plate_1	Library_plate1	P16	Compound_51	2
Plate_1	Library_plate1	P17	Compound_52	3
Plate_1	Library_plate1	P18	Compound_52	2
Plate_1	Library_plate1	P19	Compound_53	3
Plate_1	Library_plate1	P20	Compound_53	2
Plate_1	Library_plate1	P21	Compound_54	3
Plate_1	Library_plate1	P22	Compound_54	2
Plate_1	Library_plate1	P23	Compound_55	3
Plate_1	Library_plate1	P24	Compound_55	2
