"Filename: ""C:\path\to\file.csv""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*NOTE: This file was taken from http://www.bmsc.washington.edu/FIT/documentation/format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wellset: ""Default""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step,Cycle,Dye,Temp.,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
2,32, HEX,26.1,0.1281,0.032,0.1433,0.0449,0.0522,0.0249,0.3059,0.1385,0.0773,0.3079,0.3044,0.2625,2.9679,2.7018,1.857,2.7851,1.7157,2.3447,1.7389,1.9833,3.6601,3.1886,3.2934,4.7942,0.0191,0.02,0.0238,0.0338,0.024,0.0169,0.0188,0.0497,0.0161,0.0078,0.014,0.0134,2.3621,2.3562,1.7751,3.6688,2.7323,2.3006,2.2231,3.1074,2.8711,1.682,2.9442,3.0232
2,33, HEX,26.3,0.1185,0.0246,0.1476,0.0394,0.054,0.0215,0.3035,0.1421,0.0849,0.3117,0.3057,0.2557,2.9575,2.702,1.8523,2.7766,1.7127,2.3444,1.7379,1.9778,3.6526,3.1885,3.2972,4.789,0.0192,0.0205,0.0214,0.0329,0.0266,0.0162,0.0213,0.051,0.0166,0.0113,0.0126,0.014,2.3552,2.3453,1.774,3.6658,2.7245,2.2974,2.2159,3.12,2.8608,1.6773,2.9275,3.0179
2,34, HEX,26.5,0.1159,0.0272,0.1502,0.0441,0.0473,0.0122,0.2957,0.1328,0.075,0.2938,0.2968,0.2523,2.9608,2.6905,1.8552,2.777,1.7145,2.3413,1.7293,1.9713,3.6503,3.1803,3.2838,4.7881,0.0154,0.0193,0.0224,0.031,0.0229,0.0169,0.0224,0.0514,0.0161,0.0091,0.0119,0.0137,2.346,2.3329,1.7675,3.6496,2.7201,2.2915,2.2035,3.1164,2.8662,1.6789,2.9204,3.0047
2,35, HEX,26.7,0.1073,0.0168,0.1343,0.0421,0.0425,0.0235,0.2864,0.1312,0.0789,0.2936,0.2874,0.2526,2.9695,2.6944,1.8503,2.7687,1.7093,2.346,1.7197,1.9727,3.6464,3.1785,3.2762,4.7849,0.0155,0.0186,0.0228,0.033,0.0248,0.0147,0.0217,0.049,0.0139,0.0098,0.0104,0.0119,2.3271,2.3227,1.7577,3.6468,2.7129,2.2821,2.1947,3.1087,2.8436,1.6687,2.9156,2.992
2,36, HEX,26.9,0.1028,0.0242,0.1406,0.032,0.0383,0.0169,0.2874,0.1308,0.0758,0.2895,0.2925,0.2579,2.9578,2.7011,1.8489,2.7694,1.712,2.3397,1.7276,1.975,3.6514,3.1829,3.2875,4.8106,0.0144,0.0183,0.024,0.0315,0.0246,0.0155,0.0201,0.0486,0.0133,0.0093,0.0116,0.0109,2.3226,2.3062,1.7528,3.623,2.7046,2.2739,2.1926,3.1042,2.8389,1.6662,2.8966,2.9811
2,37, HEX,27.1,0.1015,0.0256,0.1332,0.036,0.0372,0.0139,0.2642,0.1246,0.0745,0.2842,0.2761,0.2452,2.9587,2.6968,1.843,2.7701,1.711,2.3425,1.7231,1.9788,3.6394,3.1716,3.2818,4.8014,0.0132,0.0207,0.0214,0.0323,0.0224,0.0143,0.0214,0.0495,0.013,0.007,0.0089,0.0116,2.3114,2.2975,1.7541,3.6194,2.7017,2.2706,2.1837,3.1129,2.8404,1.6584,2.9029,2.9699
2,38, HEX,27.3,0.1092,0.0235,0.1354,0.0368,0.039,0.0157,0.2631,0.1244,0.067,0.2857,0.2777,0.2462,2.9591,2.6958,1.8422,2.7614,1.7044,2.3404,1.7183,1.9709,3.6448,3.1749,3.2804,4.8039,0.0158,0.0168,0.0215,0.0311,0.0224,0.0145,0.0211,0.0479,0.0125,0.0074,0.0112,0.011,2.295,2.2881,1.7446,3.597,2.6898,2.2564,2.1767,3.104,2.8294,1.663,2.8911,2.9633
2,39, HEX,27.5,0.1026,0.0179,0.1245,0.035,0.0345,0.0157,0.2628,0.1248,0.0639,0.2711,0.2684,0.2449,2.9491,2.6854,1.8262,2.7537,1.7058,2.3371,1.7189,1.9678,3.6391,3.1703,3.2666,4.8181,0.0136,0.0163,0.021,0.0321,0.0218,0.0137,0.0214,0.0504,0.0146,0.0057,0.0099,0.0098,2.2911,2.2773,1.7362,3.5838,2.6839,2.2539,2.162,3.1058,2.8112,1.6559,2.8889,2.9503
2,40, HEX,27.7,0.0945,0.015,0.1189,0.0357,0.0428,0.0092,0.256,0.119,0.065,0.2715,0.27,0.245,2.946,2.6786,1.8318,2.7587,1.7055,2.3397,1.7131,1.9672,3.6384,3.1634,3.2682,4.8199,0.0141,0.0153,0.0213,0.0297,0.0227,0.014,0.0187,0.0483,0.0112,0.0077,0.0116,0.0082,2.2835,2.2688,1.7279,3.5627,2.6747,2.2426,2.1555,3.1092,2.8155,1.6515,2.8811,2.9545
2,41, HEX,27.9,0.0363,0,0.1207,0.0638,0.0662,0.0472,0.2477,0.1304,0.0736,0.2774,0.2704,0.2437,2.9121,2.6776,1.8262,2.763,1.7302,2.3564,1.7166,1.9624,3.6145,3.1573,3.2673,4.781,0.0184,0.0187,0.0197,0.0274,0.0204,0.0097,0.0162,0.0473,0.0082,0.004,0.0097,0.0082,2.2272,2.2334,1.732,3.5411,2.7075,2.2649,2.1881,3.1378,2.8312,1.6566,2.8914,2.9454
